E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
set1B; enterotoxin Set1B
cdtA; cytolethal distending toxin subunit A
cdtB; cytolethal distending toxin subunit B
cdtC; cytolethal distending toxin subunit C
shlA, hhdA, hpmA; hemolysin
shlB, hhdB, hpmB; hemolysin activation/secretion protein
tlh; thermolabile hemolysin
tdh1_2; thermostable direct hemolysin 1/2
toxA; exotoxin A [EC:2.4.2.-]
tccC; insecticidal toxin complex protein TccC
rtxA1, rtxA; structural toxin protein (hemagglutinin/hemolysin) RtxA
ptxA, artA; pertussis toxin subunit 1 [EC:2.4.2.-]
ptxB; pertussis toxin subunit 2
ptxC; pertussis toxin subunit 3
ptxD; pertussis toxin subunit 4
ptxE; pertussis toxin subunit 5
vacA; vacuolating cytotoxin
cyaA; anthrax edema toxin adenylate cyclase [EC:4.6.1.1]
pagA; protective antigen
slo; thiol-activated cytolysin
hlyII; hemolysin II
nheA; non-hemolytic enterotoxin A
nheBC; non-hemolytic enterotoxin B/C
hblAB; hemolysin BL binding component
hblC; hemolysin BL lytic component L2
hblD; hemolysin BL lytic component L1
hlg, luk; leukocidin/hemolysin toxin family protein
hld; delta-hemolysin
se; staphylococcal enterotoxin
eta; exfoliative toxin A/B
set; superantigen-like protein
tst; toxic shock syndrome toxin-1
spyA; C3 family ADP-ribosyltransferase [EC:2.4.2.-]
cfa; cAMP factor
sagA; streptolysin S associated protein
cylX; CylX protein
cylD; CylD protein
cylG; CylG protein
ABC-2.CYL.A, cylA; multidrug/hemolysin transport system ATP-binding protein
ABC-2.CYL.P, cylB; multidrug/hemolysin transport system permease protein
cylE; CylE protein
cylF; CylF protein
cylI; CylI protein
cylJ; CylJ protein
cylK; CylK protein
cpb2; beta2-toxin
cpe; enterotoxin Cpe
entA; probable enterotoxin A
entB; probable enterotoxin B
entC; probable enterotoxin C
entD; probable enterotoxin D
tcdAB; toxin A/B
MMD; monocyte to macrophage differentiation protein
tpx; thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]
E3.5.1.28D, amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
hlyIII; hemolysin III
potD; spermidine/putrescine transport system substrate-binding protein
potC; spermidine/putrescine transport system permease protein
potB; spermidine/putrescine transport system permease protein
potA; spermidine/putrescine transport system ATP-binding protein [EC:3.6.3.31]
potF; putrescine transport system substrate-binding protein
potI; putrescine transport system permease protein
potH; putrescine transport system permease protein
potG; putrescine transport system ATP-binding protein
attC; mannopine transport system substrate-binding protein
attB; mannopine transport system permease protein
attA2; mannopine transport system permease protein
attA1; mannopine transport system ATP-binding protein
phnS; 2-aminoethylphosphonate transport system substrate-binding protein
phnV; 2-aminoethylphosphonate transport system permease protein
phnU; 2-aminoethylphosphonate transport system permease protein
phnT; 2-aminoethylphosphonate transport system ATP-binding protein
msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
SNRPB, SMB; small nuclear ribonucleoprotein B and B'
SNRPD1, SMD1; small nuclear ribonucleoprotein D1
SNRPD3, SMD3; small nuclear ribonucleoprotein D3
TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein
LA, SSB; lupus La protein
SNRPA; U1 small nuclear ribonucleoprotein A
SNRPA1; U2 small nuclear ribonucleoprotein A'
SNRP70; U1 small nuclear ribonucleoprotein 70kDa
SNRPB2; U2 small nuclear ribonucleoprotein B''
SNRPC; U1 small nuclear ribonucleoprotein C
SNRPD2, SMD2; small nuclear ribonucleoprotein D2
SNRPE, SME; small nuclear ribonucleoprotein E
SNRPF, SMF; small nuclear ribonucleoprotein F
SNRPG, SMG; small nuclear ribonucleoprotein G
PTCH2; patched 2
gltP, gltT; proton glutamate symport protein
dctA; aerobic C4-dicarboxylate transport protein
melB; melibiose permease
cvrA, nhaP2; cell volume regulation protein A
ttdT; L-tartrate/succinate antiporter
yfaE; ferredoxin
RCL1; RNA 3'-terminal phosphate cyclase-like protein
SIR2; NAD-dependent histone deacetylase SIR2 [EC:3.5.1.-]
SMG6, EST1A; protein SMG6 [EC:3.1.-.-]
SMG5, EST1B; protein SMG5
TERT, EST2; telomerase reverse transcriptase [EC:2.7.7.49]
TEP1; telomerase protein component 1
GAR1, NOLA1; H/ACA ribonucleoprotein complex subunit 1
NHP2, NOLA2; H/ACA ribonucleoprotein complex subunit 2
NOP10, NOLA3; H/ACA ribonucleoprotein complex subunit 3
DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]
PINX1; Pin2-interacting protein X1
RTEL1; regulator of telomere elongation helicase 1 [EC:3.6.4.12]
TELO2, TEL2; telomere length regulation protein
RIF1; telomere-associated protein RIF1
hlyE, clyA, sheA; hemolysin E
ANPEP, CD13; aminopeptidase N [EC:3.4.11.2]
ENPEP, CD249; glutamyl aminopeptidase [EC:3.4.11.7]
LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
DNAI2; dynein intermediate chain 2, axonemal
dnaI; primosomal protein DnaI
K11145; ribonuclease III family protein [EC:3.1.26.-]
DHRS3; short-chain dehydrogenase/reductase 3 [EC:1.1.1.300]
DHRS4; dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-]
RDH11; retinol dehydrogenase 11 [EC:1.1.1.300]
RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]
RDH16; retinol dehydrogenase 16 [EC:1.1.1.-]
DGAT1; diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76]
K11159; carotenoid cleavage dioxygenase
RDH13; retinol dehydrogenase 13 [EC:1.1.1.300]
RDH14; retinol dehydrogenase 14 [EC:1.1.1.-]
DHRS1; dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]
DHRS7; dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-]
DHRS7B; dehydrogenase/reductase SDR family member 7B [EC:1.1.-.-]
DHRS12; dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-]
DHRS13; dehydrogenase/reductase SDR family member 13 [EC:1.1.-.-]
DHRSX; dehydrogenase/reductase SDR family member X [EC:1.1.-.-]
DGAT2L6; diacylglycerol O-acyltransferase 2-like protein 6 [EC:2.3.1.-]
ADHFE1; hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24]
purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
purO; IMP cyclohydrolase [EC:3.5.4.10]
yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]
tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]
dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]
dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]
AOC1, ABP1; diamine oxidase [EC:1.4.3.22]
PTS-HPR.FRUB, fruB, fpr; phosphocarrier protein FPr
chr, crh; catabolite repression HPr-like protein
PRDX5; peroxiredoxin 5, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]
PRDX6; peroxiredoxin 6, 1-Cys peroxiredoxin [EC:1.11.1.7 1.11.1.15 3.1.1.-]
PTS-HPR; phosphocarrier protein
PTS-Mur-EIIC, murP; PTS system, N-acetylmuramic acid-specific IIC component
PTS-Fru1-EIIA, levD; PTS system, fructose-specific IIA component [EC:2.7.1.202]
PTS-Fru1-EIIB, levE; PTS system, fructose-specific IIB component [EC:2.7.1.202]
PTS-Fru1-EIIC, levF; PTS system, fructose-specific IIC component
PTS-Mng-EIIC, mngA, hrsA; PTS system, 2-O-A-mannosyl-D-glycerate-specific IIC component
PTS-Fru2-EIIA; PTS system, fructose-specific IIA-like component [EC:2.7.1.-]
PTS-Fru2-EIIB; PTS system, fructose-specific IIB-like component [EC:2.7.1.-]
PTS-Fru2-EIIC; PTS system, fructose-specific IIC-like component
GCLC; glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
GCLM; glutamate--cysteine ligase regulatory subunit
yncG; GST-like protein
yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
fosB; metallothiol transferase [EC:2.5.1.-]
kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]
cofD; LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]
SHPK; sedoheptulokinase [EC:2.7.1.14]
STE12; transcription factor STE12
lsrK; autoinducer-2 kinase [EC:2.7.1.189]
STAT5B; signal transducer and activator of transcription 5B
STE11; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
BCK1; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
SSK2; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
SSK1; osomolarity two-component system, response regulator SSK1
BNI1; cytokinesis protein
WSC; cell wall integrity and stress response component
SHO1; SHO1 osmosensor
SH3GL; endophilin-A
SH3GLB1; endophilin-B1
eamB; cysteine/O-acetylserine efflux protein
leuE; leucine efflux protein
H2A; histone H2A
H2B; histone H2B
H3; histone H3
H4; histone H4
NCOA2, TIF2, KAT13C; nuclear receptor coactivator 2
ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]
ILVBL; acetolactate synthase-like protein [EC:2.2.1.-]
fwdG; 4Fe-4S ferredoxin
fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]
ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]
bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
scpB, mmcD; methylmalonyl-CoA decarboxylase [EC:4.1.1.41]
ADCY10; adenylate cyclase 10 [EC:4.6.1.1]
MAU2; MAternally affected uncoordination
PDS5; sister chromatid cohesion protein PDS5
ESCO, ECO1; N-acetyltransferase [EC:2.3.1.-]
CTF18, CHL12; chromosome transmission fidelity protein 18
CTF8; chromosome transmission fidelity protein 8
DSCC1, DCC1; sister chromatid cohesion protein DCC1
DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:3.6.4.13]
WDHD1, CTF4; chromosome transmission fidelity protein 4
H1_5; histone H1/5
NPM1; nucleophosmin 1
NPM3; nucleophosmin 3
NAP1L1, NRP; nucleosome assembly protein 1-like 1
NAP1L3, BNAP; nucleosome assembly protein 1-like 3
NAP1L4, NAP2; nucleosome assembly protein 1-like 4
TSPYL2, CINAP, DENTT; TSPY-like 2
SET, TAF1, I2PP2A; template-activating factor I
NASP; nuclear autoantigenic sperm protein
SUPT6H, SPT6; transcription elongation factor SPT6
HIRA, HIR1; protein HIRA/HIR1
NCL, NSR1; nucleolin
HMGB3; high mobility group protein B3
HMG2L1; high mobility group protein 2-like 1
HMGN2; high-mobility group nucleosome-binding domain-containing protein 2
HAT1, KAT1; histone acetyltransferase 1 [EC:2.3.1.48]
TIP60, KAT5, ESA1; histone acetyltransferase HTATIP [EC:2.3.1.48]
MYST4, KAT6B; histone acetyltransferase MYST4 [EC:2.3.1.48]
MYST2, HBO1, KAT7; histone acetyltransferase MYST2 [EC:2.3.1.48]
MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]
antC; anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]
K11312; cupin 2 domain-containing protein
SUPT3H, SPT3; transcription initiation protein SPT3
TADA2A, ADA2; transcriptional adapter 2-alpha
TADA3, ADA3, NGG1; transcriptional adapter 3
SUPT7L; STAGA complex 65 subunit gamma
TADA1, STAF42; transcriptional adapter 1
ING3; inhibitor of growth protein 3
EP400; E1A-binding protein p400 [EC:3.6.4.-]
BRD8; bromodomain-containing protein 8
EPC; enhancer of polycomb-like protein
JMJD6; histone arginine demethylase JMJD6 [EC:1.14.11.-]
DMAP1, SWC4, EAF2; DNA methyltransferase 1-associated protein 1
K11325; L-cysteine/cystine lyase
nrsA, czcA; cation efflux system protein involved in nickel and cobalt tolerance
nrsB; membrane fusion protein, cation efflux system
nrsS, rppB; two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS [EC:2.7.13.3]
rpaB; two-component system, OmpR family, response regulator RpaB
nrsR, rppA; two-component system, OmpR family, Ni(II)-responsive and/or redox-responsive regulator NrsR
nrsC; cation efflux system protein involved in nickel and cobalt tolerance [EC:3.2.1.17]
nblR; two-component system, OmpR family, response regulator NblR
bchX; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]
bchY; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]
bchZ; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]
bchF; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]
bchC; bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]
RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:3.6.4.12]
MORF4L1, MRG15, EAF3; mortality factor 4-like protein 1
ACTL6A, INO80K; actin-like protein 6A
YEATS4, GAS41, YAF9; YEATS domain-containing protein 4
MRGBP; MRG-binding protein
EAF6; chromatin modification-related protein EAF6
ING5; inhibitor of growth protein 5
ING4; inhibitor of growth protein 4
BRPF1; bromodomain and PHD finger-containing protein 1
NDUFB11; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11
NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12
NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13
cph1; two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]
rcp1; two-component system, chemotaxis family, response regulator Rcp1
cikA; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
divJ; two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]
yhdR; aspartate aminotransferase [EC:2.6.1.1]
SPT7; transcriptional activator SPT7
SPT8; transcriptional activator SPT8
SPT20, ADA5; transcription factor SPT20
SGF11; SAGA-associated factor 11
SGF29; SAGA-associated factor 29
SGF73; SAGA-associated factor 73
USP22_27_51, UBP8; ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]
CHD1; chromodomain-helicase-DNA-binding protein 1 [EC:3.6.4.12]
ENY2, DC6, SUS1; enhancer of yellow 2 transcription factor
ELP1, IKI3, IKBKAP; elongator complex protein 1
ELP2; elongator complex protein 2
ELP4; elongator complex protein 4
NTO1; NuA3 HAT complex component NTO1
bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]
pgtP; MFS transporter, OPA family, phosphoglycerate transporter protein
kinB; two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]
algB; two-component system, NtrC family, response regulator AlgB
embA; arabinosyltransferase A [EC:2.4.2.-]
embB; arabinosyltransferase B [EC:2.4.2.-]
embC; arabinosyltransferase C [EC:2.4.2.-]
gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
CLYBL; citrate lyase subunit beta-like protein [EC:4.1.-.-]
rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]
rsmF; 16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178]
METTL16, METT10D; U6 snRNA m6A methyltransferase [EC:2.1.1.346]
kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]
EAF1, VID21; chromatin modification-related protein VID21
SAS4; something about silencing protein 4
HDAC3; histone deacetylase 3 [EC:3.5.1.98]
HDAC8; histone deacetylase 8 [EC:3.5.1.98]
HDAC4_5; histone deacetylase 4/5 [EC:3.5.1.98]
HDAC6; histone deacetylase 6 [EC:3.5.1.98]
acdH; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]
SIRT1, SIR2L1; NAD-dependent deacetylase sirtuin 1 [EC:3.5.1.-]
SIRT2, SIR2L2; NAD-dependent deacetylase sirtuin 2 [EC:3.5.1.-]
SIRT3, SIR2L3; NAD-dependent deacetylase sirtuin 3 [EC:3.5.1.-]
SIRT4, SIR2L4; NAD-dependent deacetylase sirtuin 4 [EC:3.5.1.-]
SIRT5, SIR2L5; NAD-dependent deacetylase sirtuin 5 [EC:3.5.1.-]
SIRT6, SIR2L6; mono-ADP-ribosyltransferase sirtuin 6 [EC:2.4.2.31]
SIRT7, SIR2L7; NAD-dependent deacetylase sirtuin 7 [EC:3.5.1.-]
HDAC11; histone deacetylase 11 [EC:3.5.1.98]
SUV39H, CLR4; histone-lysine N-methyltransferase SUV39H [EC:2.1.1.43]
EHMT; euchromatic histone-lysine N-methyltransferase [EC:2.1.1.43]
SETDB1; histone-lysine N-methyltransferase SETDB1 [EC:2.1.1.43]
SETD1, SET1; histone-lysine N-methyltransferase SETD1 [EC:2.1.1.43]
SETD2, SET2; histone-lysine N-methyltransferase SETD2 [EC:2.1.1.43]
WHSC1, MMSET, NSD2; histone-lysine N-methyltransferase NSD2 [EC:2.1.1.43]
SMYD; SET and MYND domain-containing protein
DOT1L, DOT1; histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43]
SETD8; histone-lysine N-methyltransferase SETD8 [EC:2.1.1.43]
SUV420H; histone-lysine N-methyltransferase SUV420H [EC:2.1.1.43]
EZH2; histone-lysine N-methyltransferase EZH2 [EC:2.1.1.43]
SETMAR; histone-lysine N-methyltransferase SETMAR [EC:2.1.1.43]
PRMT1; type I protein arginine methyltransferase [EC:2.1.1.319]
PRMT3; type I protein arginine methyltransferase [EC:2.1.1.319]
PRMT6; type I protein arginine methyltransferase [EC:2.1.1.319]
PRMT7; type III protein arginine methyltransferase [EC:2.1.1.321]
gbsB; choline dehydrogenase [EC:1.1.1.1]
kguK; dehydrogluconokinase [EC:2.7.1.13]
K11442; putative uridylyltransferase [EC:2.7.7.-]
divK; two-component system, cell cycle response regulator DivK
wspR; two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]
KDM5, JARID1; histone demethylase JARID1 [EC:1.14.11.-]
UTX, UTY; histone demethylase [EC:1.14.11.-]
KDM1A, AOF2, LSD1; lysine-specific histone demethylase 1A [EC:1.-.-.-]
CBX6; chromobox protein 6
CBX8, PC3; chromobox protein 8
PHC1, EDR1; polyhomeotic-like protein 1
PCGF4, BMI1; polycomb group RING finger protein 4
SCMH1; polycomb protein SCMH1
EED; polycomb protein EED
SUZ12; polycomb protein SUZ12
SCML2; sex comb on midleg-like protein 2
YAF2; YY1-associated factor 2
RYBP; RING1 and YY1-binding protein
ASXL; additional sex combs-like protein
glcE; glycolate oxidase FAD binding subunit
glcF; glycolate oxidase iron-sulfur subunit
glcC; GntR family transcriptional regulator, glc operon transcriptional activator
vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator
K11476, gntR; GntR family transcriptional regulator, gluconate operon transcriptional repressor
glcG; glc operon protein GlcG
JARID2, JMJ; protein Jumonji
AURKB; aurora kinase B [EC:2.7.11.1]
AURKA; aurora kinase A [EC:2.7.11.1]
HOS2; histone deacetylase HOS2 [EC:3.5.1.98]
MTF2, PCL2; polycomb-like protein 2
PCGF3; polycomb group RING finger protein 3
NCAPH2; condensin-2 complex subunit H2
NCAPD3; condensin-2 complex subunit D3
NCAPG2, LUZP5; condensin-2 complex subunit G2
RCC1; regulator of chromosome condensation
RCBTB; RCC1 and BTB domain-containing protein
CENPA; histone H3-like centromeric protein A
CENPB; centromere protein B
CENPE; centromeric protein E
CENPF; centromere protein F
CENPI; centromere protein I
CENPJ; centromere protein J
CENPO; centromere protein O
APITD1, CENPS, MHF1; centromere protein S
CDCA8; Borealin
INCENP; inner centromere protein
HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
TOM40; mitochondrial import receptor subunit TOM40
DERL1; Derlin-1
manS; two-component system, OmpR family, manganese sensing sensor histidine kinase [EC:2.7.13.3]
K11521, manR; two-component system, OmpR family, manganese sensing response regulator
pixG; two-component system, chemotaxis family, response regulator PixG
pixH; two-component system, chemotaxis family, response regulator PixH
pixI; positive phototaxis protein PixI
pixJ; methyl-accepting chemotaxis protein PixJ
pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL
K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
glmU; UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]
gck, gckA, GLYCTK; glycerate 2-kinase [EC:2.7.1.165]
lsrG; (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]
lsrR; lsr operon transcriptional repressor
glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
fas; fatty acid synthase, bacteria type [EC:2.3.1.-]
deoR; DeoR family transcriptional regulator, deoxyribose operon repressor
nupC; nucleoside transport protein
SLC28A; pyrimidine nucleoside transport protein
xapB; MFS transporter, NHS family, xanthosine permease
ACAD8; isobutyryl-CoA dehydrogenase [EC:1.3.99.-]
CBR4; carbonyl reductase 4 [EC:1.1.1.-]
CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]
URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2]
NDC80, HEC1, TID3; kinetochore protein NDC80
NUF2, CDCA1; kinetochore protein Nuf2
SPBC24, SPC24; kinetochore protein Spc24, animal type
SPBC25, SPC25; kinetochore protein Spc25, animal type
DAD1; DASH complex subunit DAD1
KNTC1, ROD; kinetochore-associated protein 1
ZW10, DSL1; protein transport protein DSL1/ZW10
ZWILCH; protein zwilch
PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B''
PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'
CBX1, HP1B, SWI6; chromobox protein 1
CBX3, HP1G; chromobox protein 3
CBX5, HP1A; chromobox protein 5
MBD2; methyl-CpG-binding domain protein 2
DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]
ELF2C, AGO; eukaryotic translation initiation factor 2C
DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]
POMP, UMP1; proteasome maturation protein
RRP41, EXOSC4, SKI6; exosome complex component RRP41
mntC; manganese transport system substrate-binding protein
mntB; manganese transport system permease protein
mntA; manganese transport system ATP-binding protein
sitA; manganese/iron transport system substrate-binding protein
sitC; manganese/iron transport system permease protein
sitD; manganese/iron transport system permease protein
sitB; manganese/iron transport system ATP-binding protein
mtfabH; beta-ketoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
kas; beta-ketoacyl ACP synthase [EC:2.3.1.-]
mabA; beta-ketoacyl ACP reductase [EC:1.1.1.100]
inhA; enoyl ACP reductase [EC:1.3.1.9]
yufL, malK; two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]
malR; two-component system, CitB family, response regulator MalR
maeN; malate:Na+ symporter
liaS; two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]
liaR; two-component system, NarL family, response regulator LiaR
liaI; lia operon protein LiaI
liaH; lia operon protein LiaH
liaG; lia operon protein LiaG
liaF; lia operon protein LiaF
ydfH; two-component system, NarL family, sensor histidine kinase YdfH [EC:2.7.13.3]
ydfI; two-component system, NarL family, response regulator YdfI
ydfJ; membrane protein YdfJ
glnT; putative sodium/glutamine symporter
pylS; pyrrolysyl-tRNA synthetase [EC:6.1.1.26]
mas; mycocerosic acid synthase [EC:2.3.1.111]
bceS; two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS [EC:2.7.13.3]
bceR; two-component system, OmpR family, bacitracin resistance response regulator BceR
bceA, vraD; bacitracin transport system ATP-binding protein
bceB, vraE; bacitracin transport system permease protein
yxdK; two-component system, OmpR family, sensor histidine kinase YxdK [EC:2.7.13.3]
yxdJ; two-component system, OmpR family, response regulator YxdJ
yxdL; putative ABC transport system ATP-binding protein
yxdM; putative ABC transport system permease protein
citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
K11638, citT; two-component system, CitB family, response regulator CitT
citM; Mg2+/citrate complex secondary transporter
natK; two-component system, LytTR family, sensor histidine kinase NatK [EC:2.7.13.3]
natR; two-component system, LytTR family, response regulator NatR
CHD3, MI2A; chromodomain-helicase-DNA-binding protein 3 [EC:3.6.4.12]
CHD4, MI2B; chromodomain-helicase-DNA-binding protein 4 [EC:3.6.4.12]
SIN3A; paired amphipathic helix protein Sin3a
fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K11646; 3-dehydroquinate synthase II [EC:1.4.1.24]
SMARCA2_4; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:3.6.4.-]
SMARCB1, SNF5, INI1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1
SMARCC; SWI/SNF related-matrix-associated actin-dependent regulator of chromatin subfamily C
SMARCD; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D
SMARCE1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E, member 1
ACTL6B; actin-like protein 6B
ARID1; AT-rich interactive domain-containing protein 1
SMARCA5, SNF2H, ISWI; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-]
BAZ1A, ACF1; bromodomain adjacent to zinc finger domain protein 1A
CHRAC1, CHRAC15; chromatin accessibility complex protein 1
RSF1; remodeling and spacing factor 1
MTA; metastasis-associated protein MTA
SRCAP; helicase SRCAP [EC:3.6.4.-]
ACTR6, ARP6; actin-related protein 6
ZNHIT1, VPS71; zinc finger HIT domain-containing protein 1
VPS72, TCFL1, YL1; vacuolar protein sorting-associated protein 72
INO80, INOC1; DNA helicase INO80 [EC:3.6.4.12]
INO80B, ZNHIT4, PAPA1; INO80 complex subunit B
INO80C, IES6; INO80 complex subunit C
INO80E; INO80 complex subunit E
NFRKB, INO80G; nuclear factor related to kappa-B-binding protein
ACTR5, ARP5, INO80M; actin-related protein 5
ACTR8, ARP8, INO80N; actin-related protein 8
MCRS1, INO80Q; microspherule protein 1
IES1; Ino eighty subunit 1
IES2; Ino eighty subunit 2
SWR1; helicase SWR1 [EC:3.6.4.12]
SWC3; SWR1-complex protein 3
BDF1; bromodomain-containing factor 1
stpA; DNA-binding protein StpA
racA; chromosome-anchoring protein RacA
ADPRHL2; poly(ADP-ribose) glycohydrolase ARH3 [EC:3.2.1.143]
dctP; C4-dicarboxylate-binding protein DctP
dctQ; C4-dicarboxylate transporter, DctQ subunit
dctM; C4-dicarboxylate transporter, DctM subunit
K11691, dctS; two-component system, CitB family, sensor histidine kinase DctS [EC:2.7.13.3]
K11692, dctR; two-component system, CitB family, response regulator DctR
femX, fmhB; peptidoglycan pentaglycine glycine transferase (the first glycine) [EC:2.3.2.16]
femA; peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17]
femB; peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine) [EC:2.3.2.18]
RDR, RDRP; RNA-dependent RNA polymerase [EC:2.7.7.48]
GLT25D; collagen beta-1,O-galactosyltransferase [EC:2.4.1.50]
mtsA; iron/zinc/manganese/copper transport system substrate-binding protein
mtsC; iron/zinc/manganese/copper transport system permease protein
mtsB; iron/zinc/manganese/copper transport system ATP-binding protein
troA, mntA, znuA; manganese/zinc/iron transport system substrate-binding protein
troC, mntC, znuB; manganese/zinc/iron transport system permease protein
troD, mntD, znuB; manganese/zinc/iron transport system permease protein
troB, mntB, znuC; manganese/zinc/iron transport system ATP- binding protein
dctS; two-component system, LuxR family, sensor histidine kinase DctS [EC:2.7.13.3]
